gene_id,WTCMA,WTCMB,WTCMC,WTCM1,WTCM2,WTCM3,WTMA,WTMC,WTM1,WTM2,WTM3,KOCMA,KOCMB,KOCMC,KOCM1,KOCM2,KOCM3,KOMA,KOMB,KOM1,KOM2
VNG_RS02315,1684,2319,1845,381,531,531,1199,803,487,277,1609,2151,1475,4678,244,397,270,2907,729,1396,121
VNG_RS02320,392,475,484,87,110,116,325,217,146,62,556,438,345,836,58,111,68,704,234,433,46
VNG_RS02325,404,729,512,91,130,189,555,425,255,135,987,444,476,1244,63,122,74,1462,494,693,51
VNG_RS02345,266,538,213,49,79,126,288,170,160,69,503,256,284,676,46,62,54,600,213,380,32
VNG_RS02350,372,708,951,83,158,186,1181,1463,530,338,3213,771,429,1059,106,274,130,4344,1628,2826,365
VNG_RS02355,377,759,520,86,112,194,521,412,251,146,1030,470,511,1092,79,119,67,1322,401,838,71
VNG_RS02360,2030,3075,2372,294,236,382,747,816,157,65,615,3648,2421,5436,130,241,162,2535,1016,278,86
VNG_RS02365,894,1063,1089,200,330,286,747,541,356,183,792,1083,818,2163,185,209,146,1076,383,717,41
VNG_RS02370,1474,1372,1675,316,507,383,952,768,484,245,1173,1770,1016,2883,288,360,285,1765,480,1082,72
VNG_RS02375,841,910,912,250,256,216,350,303,168,99,622,966,414,1070,158,204,135,913,250,586,53
VNG_RS02380,556,697,555,137,162,172,309,282,155,98,633,582,440,1495,88,179,84,833,252,452,50
VNG_RS02385,260,499,458,66,106,92,313,225,117,68,435,387,311,1004,40,103,61,976,251,431,28
VNG_RS02390,339,451,723,85,128,190,380,333,201,101,795,578,360,584,93,154,84,674,274,578,46
VNG_RS02400,682,1098,690,174,173,207,452,265,219,128,726,564,484,1323,85,125,73,878,274,449,32
VNG_RS02405,1727,2179,1590,273,306,360,1341,817,325,156,1515,1605,1113,2893,104,187,155,2274,592,753,51
VNG_RS02410,978,1426,940,160,214,182,803,557,264,101,717,1327,1044,2822,106,128,109,1570,470,523,57
VNG_RS02415,4,5,4,1,3,1,3,7,0,0,14,6,4,7,2,4,3,10,2,10,1
VNG_RS02420,255,245,382,60,68,81,238,240,74,37,250,300,239,377,39,100,55,400,166,224,36
VNG_RS02425,6,15,9,1,3,0,7,9,1,1,6,8,7,8,2,0,0,20,4,3,0
VNG_RS02430,15,27,25,7,12,11,39,20,6,4,49,25,17,62,3,10,3,40,18,34,2
VNG_RS02435,215,237,347,67,85,80,188,161,93,52,242,352,208,508,65,82,33,478,121,277,15
VNG_RS02440,532,984,796,158,176,343,1651,838,841,258,2470,685,751,1798,100,315,150,3095,1302,2125,273
VNG_RS02445,458,603,521,70,116,117,381,242,130,82,358,493,484,1165,42,74,64,835,274,268,21
VNG_RS02450,7226,11749,12155,1631,3027,2783,9446,6858,4792,2191,10315,10678,10683,24161,1820,2314,1879,19754,6323,11580,892
VNG_RS02455,7090,10551,12500,1698,3298,3213,9664,7068,5301,2448,11581,10343,9691,17700,1967,2750,2195,18238,7186,13077,1049
VNG_RS02460,580,1049,1036,110,198,270,889,712,385,240,1619,893,715,1945,127,229,137,2347,673,1307,110
VNG_RS02465,1541,1903,3402,414,648,682,2215,1662,1072,476,2241,2629,2401,4676,467,697,491,3013,1457,2074,255
VNG_RS02470,145,259,184,51,50,52,150,170,96,44,269,230,155,499,33,54,22,479,142,284,18
VNG_RS02475,306,395,399,79,124,87,364,281,181,93,551,420,273,752,76,102,81,596,155,441,38
VNG_RS02480,417,716,673,94,189,182,877,505,388,182,1345,627,625,1541,84,158,105,1828,532,1076,70
VNG_RS02485,8521,7753,19890,2113,3458,2943,4168,3741,2026,926,3642,17365,10832,27381,3085,5298,2993,5141,3169,3507,562
VNG_RS02490,4657,6980,5965,1160,1775,1908,5392,3538,2809,1327,8394,5553,5110,10492,934,1394,904,10167,3048,6609,440
VNG_RS02495,907,1304,1013,200,316,304,753,561,402,221,1426,1087,832,1923,151,275,167,1911,552,1148,87
VNG_RS02500,1478,2012,1775,396,554,508,992,805,592,280,1414,1728,1502,3298,342,357,267,2028,664,1336,77
VNG_RS02505,3135,4724,5514,821,1589,1809,2543,2297,1455,578,1701,6320,4508,12402,1161,673,988,1957,999,1460,162
VNG_RS02515,5598,6176,8129,1351,1714,1897,4953,3967,2168,1028,7890,7787,4816,11436,1260,1775,1214,9244,3973,5716,656
VNG_RS02520,6552,7956,9268,1974,3223,2806,6023,4582,3952,1792,9916,8543,6571,12958,1918,2925,1750,10151,4281,8961,813
