Instance	Condition	Strain	Media	Time	Media_t	Strain_t	Condition_t	Phase	Area	Circularity	Length	L_A	Expt
T24CMKOA	T24CMKO	T24KO	T24CM	24	CM	KO	CMKO	Log	3477.1094	0.8508945	89.284836	0.025677891	Se1
T24CMKOA	T24CMKO	T24KO	T24CM	24	CM	KO	CMKO	Log	2331.8086	0.95832026	62.54126	0.026820923	Se1
T24CMKOA	T24CMKO	T24KO	T24CM	24	CM	KO	CMKO	Log	1679.5312	0.8039817	66.75923	0.039748729	Se1
T24CMKOB	T24CMKO	T24KO	T24CM	24	CM	KO	CMKO	Log	2143.746	0.48429728	106.68209	0.049764333	Se1
T24CMKOB	T24CMKO	T24KO	T24CM	24	CM	KO	CMKO	Log	1936.0645	0.6515907	83.60706	0.043184026	Se1
T24CMKOB	T24CMKO	T24KO	T24CM	24	CM	KO	CMKO	Log	2302.2227	0.70991236	86.153404	0.037421838	Se1
T24CMKOB	T24CMKO	T24KO	T24CM	24	CM	KO	CMKO	Log	1370.7812	0.9771501	42.836464	0.031249673	Se1
T24CMKOB	T24CMKO	T24KO	T24CM	24	CM	KO	CMKO	Log	2665.375	0.7258883	88.37477	0.033156599	Se1
T24CMKOB	T24CMKO	T24KO	T24CM	24	CM	KO	CMKO	Log	1665	0.6621282	76.58378	0.045996264	Se1
T24CMKOB	T24CMKO	T24KO	T24CM	24	CM	KO	CMKO	Log	3413.4453	0.53045684	114.678085	0.033595993	Se1
T24CMKOB	T24CMKO	T24KO	T24CM	24	CM	KO	CMKO	Log	2725.5625	0.7849738	77.075516	0.028278756	Se1
T24CMKOB	T24CMKO	T24KO	T24CM	24	CM	KO	CMKO	Log	2693.5625	0.9332689	60.10741	0.022315209	Se1
T24CMKOB	T24CMKO	T24KO	T24CM	24	CM	KO	CMKO	Log	2182.379	0.64431155	88.44279	0.040525862	Se1
T24CMKOB	T24CMKO	T24KO	T24CM	24	CM	KO	CMKO	Log	1592.6094	0.88669807	59.85842	0.037585123	Se1
T24CMKOB	T24CMKO	T24KO	T24CM	24	CM	KO	CMKO	Log	1387.0469	0.81211364	58.850975	0.042428973	Se1
T24CMKOB	T24CMKO	T24KO	T24CM	24	CM	KO	CMKO	Log	3556.4688	0.46279973	140.4597	0.039494147	Se1
T24CMKOB	T24CMKO	T24KO	T24CM	24	CM	KO	CMKO	Log	2013.9062	0.7754821	66.543015	0.033041765	Se1
T24CMKOB	T24CMKO	T24KO	T24CM	24	CM	KO	CMKO	Log	1595.0938	0.3039338	121.78861	0.076352005	Se1
T24CMKOB	T24CMKO	T24KO	T24CM	24	CM	KO	CMKO	Log	1152.375	0.6941683	59.8482	0.051934657	Se1
T24CMKOB	T24CMKO	T24KO	T24CM	24	CM	KO	CMKO	Log	1077.0547	0.85500824	50.158337	0.046569907	Se1
T24CMKOB	T24CMKO	T24KO	T24CM	24	CM	KO	CMKO	Log	2548.7422	0.398551	131.71681	0.051679142	Se1
T24CMKOB	T24CMKO	T24KO	T24CM	24	CM	KO	CMKO	Log	1167.8906	0.702847	61.605453	0.052749335	Se1
T24CMKOB	T24CMKO	T24KO	T24CM	24	CM	KO	CMKO	Log	8558.784	0.15921931	391.7689	0.045773897	Se1
T24CMKOB	T24CMKO	T24KO	T24CM	24	CM	KO	CMKO	Log	1471.3594	0.97666645	47.184113	0.03206838	Se1
T24CMKOB	T24CMKO	T24KO	T24CM	24	CM	KO	CMKO	Log	2758.6309	0.81673855	73.55978	0.026665322	Se1
